bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,668.0,398.0,270.0,59.58083832335329,40.41916167664671,668.0,398.0,270.0,0.6025920542635659,37.03703703703704,36.43444498277347,1.474074074074074
2.0,668.0,566.0,102.0,84.73053892215569,15.269461077844312,1336.0,964.0,372.0,1.459544573643411,51.02880658436214,49.569262010718724,2.5913978494623655
3.0,667.0,626.0,41.0,93.85307346326836,6.146926536731641,2003.0,1590.0,413.0,2.40734011627907,56.65294924554184,54.24560912926277,3.8498789346246975
4.0,668.0,651.0,17.0,97.45508982035928,2.5449101796407234,2671.0,2241.0,430.0,3.392986918604651,58.98491083676269,55.59192391815804,5.211627906976744
5.0,668.0,650.0,18.0,97.30538922155688,2.6946107784431206,3339.0,2891.0,448.0,4.377119670542636,61.45404663923183,57.07692696868919,6.453125
6.0,668.0,657.0,11.0,98.35329341317366,1.6467065868263404,4007.0,3548.0,459.0,5.371850775193798,62.96296296296296,57.59111218776916,7.729847494553377
7.0,667.0,656.0,11.0,98.35082458770614,1.6491754122938573,4674.0,4204.0,470.0,6.365067829457364,64.4718792866941,58.10681145723674,8.94468085106383
8.0,668.0,657.0,11.0,98.35329341317366,1.6467065868263404,5342.0,4861.0,481.0,7.359798934108527,65.98079561042525,58.62099667631672,10.106029106029107
9.0,668.0,657.0,11.0,98.35329341317366,1.6467065868263404,6010.0,5518.0,492.0,8.35453003875969,67.48971193415638,59.135181895396684,11.215447154471544
10.0,668.0,660.0,8.0,98.80239520958084,1.1976047904191631,6678.0,6178.0,500.0,9.353803294573643,68.58710562414267,59.23330232956902,12.356
11.0,667.0,656.0,11.0,98.35082458770614,1.6491754122938573,7345.0,6834.0,511.0,10.347020348837209,70.0960219478738,59.74900159903659,13.373776908023483
12.0,668.0,665.0,3.0,99.55089820359281,0.4491017964071915,8013.0,7499.0,514.0,11.353863856589147,70.50754458161866,59.15368072502952,14.589494163424124
13.0,668.0,664.0,4.0,99.40119760479043,0.5988023952095745,8681.0,8163.0,518.0,12.359193313953488,71.05624142661179,58.6970481126583,15.758687258687258
14.0,668.0,661.0,7.0,98.95209580838323,1.047904191616766,9349.0,8824.0,525.0,13.359980620155039,72.01646090534979,58.656480285194746,16.80761904761905
15.0,668.0,660.0,8.0,98.80239520958084,1.1976047904191631,10017.0,9484.0,533.0,14.359253875968992,73.11385459533608,58.75460071936709,17.793621013133208
16.0,667.0,650.0,17.0,97.4512743628186,2.5487256371814055,10684.0,10134.0,550.0,15.343386627906977,75.44581618655693,60.102429558649945,18.425454545454546
17.0,668.0,664.0,4.0,99.40119760479043,0.5988023952095745,11352.0,10798.0,554.0,16.348716085271317,75.99451303155007,59.64579694627875,19.490974729241877
18.0,668.0,659.0,9.0,98.65269461077844,1.3473053892215603,12020.0,11457.0,563.0,17.346475290697676,77.22908093278464,59.882605642086965,20.349911190053287
19.0,668.0,658.0,10.0,98.50299401197604,1.4970059880239575,12688.0,12115.0,573.0,18.342720445736433,78.60082304526749,60.25810259953106,21.143106457242585
20.0,667.0,662.0,5.0,99.2503748125937,0.7496251874062949,13355.0,12777.0,578.0,19.345021802325583,79.28669410150891,59.94167229918333,22.10553633217993
21.0,668.0,666.0,2.0,99.7005988023952,0.29940119760479433,14023.0,13443.0,580.0,20.353379360465116,79.56104252400549,59.207663163540374,23.177586206896553
22.0,668.0,659.0,9.0,98.65269461077844,1.3473053892215603,14691.0,14102.0,589.0,21.35113856589147,80.79561042524006,59.44447185934858,23.942275042444823
23.0,668.0,664.0,4.0,99.40119760479043,0.5988023952095745,15359.0,14766.0,593.0,22.356468023255815,81.3443072702332,58.98783924697739,24.900505902192243
24.0,667.0,652.0,15.0,97.75112443778112,2.2488755622188847,16026.0,15418.0,608.0,23.343628875968992,83.40192043895748,60.05829156298849,25.35855263157895
25.0,668.0,662.0,6.0,99.10179640718563,0.8982035928143688,16694.0,16080.0,614.0,24.34593023255814,84.2249657064472,59.879035473889054,26.188925081433226
26.0,668.0,661.0,7.0,98.95209580838323,1.047904191616766,17362.0,16741.0,621.0,25.34671753875969,85.18518518518519,59.8384676464255,26.95813204508857
27.0,668.0,663.0,5.0,99.25149700598803,0.7485029940119716,18030.0,17404.0,626.0,26.350532945736433,85.87105624142661,59.52052329569018,27.80191693290735
28.0,668.0,663.0,5.0,99.25149700598803,0.7485029940119716,18698.0,18067.0,631.0,27.354348352713178,86.55692729766804,59.202578944954865,28.632329635499207
29.0,667.0,665.0,2.0,99.70014992503748,0.2998500749625208,19365.0,18732.0,633.0,28.361191860465116,86.83127572016461,58.4700838596995,29.592417061611375
30.0,668.0,667.0,1.0,99.8502994011976,0.14970059880239717,20033.0,19399.0,634.0,29.371063468992247,86.96844993141289,57.597386462420644,30.597791798107256
31.0,668.0,664.0,4.0,99.40119760479043,0.5988023952095745,20701.0,20063.0,638.0,30.37639292635659,87.51714677640604,57.14075385004945,31.446708463949843
32.0,668.0,666.0,2.0,99.7005988023952,0.29940119760479433,21369.0,20729.0,640.0,31.384750484496124,87.79149519890261,56.406744714406486,32.3890625
33.0,667.0,666.0,1.0,99.85007496251875,0.1499250374812533,22036.0,21395.0,641.0,32.39310804263566,87.92866941015089,55.53556136751523,33.37753510140406
34.0,668.0,667.0,1.0,99.8502994011976,0.14970059880239717,22704.0,22062.0,642.0,33.40297965116279,88.06584362139918,54.662863970236394,34.36448598130841
35.0,668.0,667.0,1.0,99.8502994011976,0.14970059880239717,23372.0,22729.0,643.0,34.41285125968992,88.20301783264746,53.79016657295754,35.34836702954899
36.0,668.0,667.0,1.0,99.8502994011976,0.14970059880239717,24040.0,23396.0,644.0,35.42272286821706,88.34019204389575,52.9174691756787,36.32919254658385
37.0,667.0,667.0,0.0,100.0,0.0,24707.0,24063.0,644.0,36.432594476744185,88.34019204389575,51.90759756715157,37.36490683229814
38.0,668.0,668.0,0.0,100.0,0.0,25375.0,24731.0,644.0,37.44398013565891,88.34019204389575,50.89621190823684,38.40217391304348
39.0,668.0,664.0,4.0,99.40119760479043,0.5988023952095745,26043.0,25395.0,648.0,38.44930959302326,88.88888888888889,50.43957929586563,39.18981481481482
40.0,668.0,664.0,4.0,99.40119760479043,0.5988023952095745,26711.0,26059.0,652.0,39.4546390503876,89.43758573388203,49.98294668349443,39.967791411042946
41.0,668.0,663.0,5.0,99.25149700598803,0.7485029940119716,27379.0,26722.0,657.0,40.45845445736434,90.12345679012346,49.665002332759116,40.67275494672755
42.0,667.0,666.0,1.0,99.85007496251875,0.1499250374812533,28046.0,27388.0,658.0,41.466812015503876,90.26063100137175,48.79381898586787,41.62310030395137
43.0,668.0,664.0,4.0,99.40119760479043,0.5988023952095745,28714.0,28052.0,662.0,42.472141472868216,90.80932784636488,48.337186373496664,42.37462235649547
44.0,668.0,663.0,5.0,99.25149700598803,0.7485029940119716,29382.0,28715.0,667.0,43.47595687984496,91.4951989026063,48.01924202276135,43.05097451274363
45.0,668.0,667.0,1.0,99.8502994011976,0.14970059880239717,30050.0,29382.0,668.0,44.48582848837209,91.6323731138546,47.146544625482505,43.98502994011976
46.0,667.0,666.0,1.0,99.85007496251875,0.1499250374812533,30717.0,30048.0,669.0,45.49418604651163,91.76954732510288,46.27536127859125,44.91479820627803
47.0,668.0,667.0,1.0,99.8502994011976,0.14970059880239717,31385.0,30715.0,670.0,46.50405765503876,91.90672153635117,45.402663881312414,45.843283582089555
48.0,668.0,666.0,2.0,99.7005988023952,0.29940119760479433,32053.0,31381.0,672.0,47.51241521317829,92.18106995884774,44.66865474566945,46.697916666666664
49.0,668.0,668.0,0.0,100.0,0.0,32721.0,32049.0,672.0,48.52380087209303,92.18106995884774,43.65726908675472,47.691964285714285
50.0,667.0,666.0,1.0,99.85007496251875,0.1499250374812533,33388.0,32715.0,673.0,49.532158430232556,92.31824417009602,42.786085739863466,48.61069836552749
51.0,668.0,666.0,2.0,99.7005988023952,0.29940119760479433,34056.0,33381.0,675.0,50.54051598837209,92.5925925925926,42.0520766042205,49.45333333333333
52.0,668.0,666.0,2.0,99.7005988023952,0.29940119760479433,34724.0,34047.0,677.0,51.54887354651163,92.86694101508917,41.31806746857754,50.29098966026588
53.0,668.0,667.0,1.0,99.8502994011976,0.14970059880239717,35392.0,34714.0,678.0,52.55874515503876,93.00411522633745,40.44537007129869,51.200589970501476
54.0,668.0,664.0,4.0,99.40119760479043,0.5988023952095745,36060.0,35378.0,682.0,53.564074612403104,93.55281207133059,39.98873745892749,51.87390029325513
55.0,667.0,664.0,3.0,99.55022488755623,0.4497751124437741,36727.0,36042.0,685.0,54.569404069767444,93.96433470507544,39.394930635308,52.61605839416058
56.0,668.0,668.0,0.0,100.0,0.0,37395.0,36710.0,685.0,55.58078972868217,93.96433470507544,38.383544976393274,53.59124087591241
57.0,668.0,668.0,0.0,100.0,0.0,38063.0,37378.0,685.0,56.592175387596896,93.96433470507544,37.37215931747855,54.566423357664235
58.0,668.0,661.0,7.0,98.95209580838323,1.047904191616766,38731.0,38039.0,692.0,57.59296269379845,94.92455418381344,37.33159149001499,54.96965317919075
59.0,667.0,658.0,9.0,98.65067466266866,1.3493253373313365,39398.0,38697.0,701.0,58.58920784883721,96.15912208504801,37.5699142362108,55.20256776034237
